2019/08/28 11:24:14.114 c.springboot.test.shiro.Application [] INFO  Starting Application on Farben-PC with PID 14516 (E:\spring-boot-examples\spring-boot-shiro-8\target\classes started by Farben in E:\spring-boot-examples\spring-boot-shiro-8)
2019/08/28 11:24:14.116 c.springboot.test.shiro.Application [] INFO  No active profile set, falling back to default profiles: default
2019/08/28 11:24:14.453 o.h.validator.internal.util.Version [] INFO  HV000001: Hibernate Validator 5.3.5.Final
2019/08/28 11:24:14.502 o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext [] INFO  Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@68dc098b: startup date [Wed Aug 28 11:24:14 CST 2019]; root of context hierarchy
2019/08/28 11:24:16.024 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'shiroConfig' of type [com.springboot.test.shiro.config.ShiroConfig$$EnhancerBySpringCGLIB$$fff7d19b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:16.461 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'ehCacheManager' of type [org.apache.shiro.cache.ehcache.EhCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:16.461 o.a.s.cache.ehcache.EhCacheManager [] INFO  Using existing EHCache named [passwordRetryCache]
2019/08/28 11:24:16.717 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'mybatis-org.mybatis.spring.boot.autoconfigure.MybatisProperties' of type [org.mybatis.spring.boot.autoconfigure.MybatisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:16.736 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration' of type [org.mybatis.spring.boot.autoconfigure.MybatisAutoConfiguration$$EnhancerBySpringCGLIB$$a63a5248] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:16.744 o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker [] INFO  Bean 'dataSourceConfig' of type [com.springboot.test.shiro.config.DataSourceConfig$$EnhancerBySpringCGLIB$$c18e8419] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019/08/28 11:24:17.658 c.a.druid.pool.DruidDataSource [] INFO  {dataSource-1} inited
